gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,annotated cluster,cell type,meta cell type identity,
Cd302,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000408977833838274,1.10223359345652,0.429,0.182,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000957008131181562,0,AM (Bleo),Alveolar macrophages,Macrophages,
Ccl6,0,1.07191011789054,0.839,0.403,0,0,AM (Bleo),Alveolar macrophages,Macrophages,
Cd9,0,1.03951779837804,0.74,0.39,0,0,AM (Bleo),Alveolar macrophages,Macrophages,
Mrc1,0,1.01587037014848,0.515,0.216,0,0,AM (Bleo),Alveolar macrophages,Macrophages,
Msrb1,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000254175032015344,1.01528035929339,0.456,0.201,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000594769574915905,0,AM (Bleo),Alveolar macrophages,Macrophages,
Ms4a8a,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080047930121962,0.997210089518028,0.171,0.046,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000187312156485391,0,AM (Bleo),Alveolar macrophages,Macrophages,
Spp1,0,0.97637413723728,0.862,0.451,0,0,AM (Bleo),Alveolar macrophages,Macrophages,
Fth1,0,0.964928768295786,0.991,0.847,0,0,AM (Bleo),Alveolar macrophages,Macrophages,
Klhdc4,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000114482153721415,0.9550585110473,0.17,0.05,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000026788823970811,0,AM (Bleo),Alveolar macrophages,Macrophages,
Gm10116,0,0.933541550211181,0.887,0.568,0,0,AM (Bleo),Alveolar macrophages,Macrophages,
Hebp1,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000181121639709506,0.930480761342396,0.175,0.057,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000423824636920244,0,AM (Bleo),Alveolar macrophages,Macrophages,
Mpeg1,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000339812245249978,0.925357912227414,0.406,0.19,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000795160653884947,0,AM (Bleo),Alveolar macrophages,Macrophages,
Fn1,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000313560846108579,0.919495589049244,0.432,0.197,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000733732379894075,0,AM (Bleo),Alveolar macrophages,Macrophages,
Lpl,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000529565293587817,0.911601454191993,0.514,0.242,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000123918278699549,0,AM (Bleo),Alveolar macrophages,Macrophages,
Ctsd,0,0.897863453648101,0.84,0.461,0,0,AM (Bleo),Alveolar macrophages,Macrophages,
Ltc4s,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000346025007242245,0.893656803593178,0.213,0.075,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000809698516946854,0,AM (Bleo),Alveolar macrophages,Macrophages,
Ctss,0,0.875727931012362,0.951,0.542,0,0,AM (Bleo),Alveolar macrophages,Macrophages,
Lyz2,0,0.860602492793435,0.998,0.835,0,0,AM (Bleo),Alveolar macrophages,Macrophages,
Ftl1,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000168437089914107,0.848913318908747,0.593,0.324,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000394142790399011,0,AM (Bleo),Alveolar macrophages,Macrophages,
Lipa,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000254121918431048,0.840906689045854,0.275,0.13,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000594645289128653,0,AM (Bleo),Alveolar macrophages,Macrophages,
Acp5,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000280738987232065,0.836306718162457,0.256,0.119,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000656929230123032,0,AM (Bleo),Alveolar macrophages,Macrophages,
Pld3,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018320733933496,0.827937853917876,0.281,0.138,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000428705174043807,0,AM (Bleo),Alveolar macrophages,Macrophages,
Abcg1,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000132012258198328,0.809278034187279,0.21,0.09,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000308908684184088,0,AM (Bleo),Alveolar macrophages,Macrophages,
Mertk,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000202185989383163,0.808955007024071,0.201,0.084,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000473115215156601,0,AM (Bleo),Alveolar macrophages,Macrophages,
Tnfaip2,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000115243120716195,0.801106048140206,0.147,0.056,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000269668902475897,0,AM (Bleo),Alveolar macrophages,Macrophages,
Sgk1,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109472103745102,0.80054519640007,0.261,0.13,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000256164722763539,0,AM (Bleo),Alveolar macrophages,Macrophages,
Snx10,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000159582387707918,0.767457749675959,0.197,0.096,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000373422787236529,0,AM (Bleo),Alveolar macrophages,Macrophages,
Plek,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103050382060465,0.755186500135061,0.285,0.154,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000241137894021488,0,AM (Bleo),Alveolar macrophages,Macrophages,
Clec4a2,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000413960224895034,0.751792001755837,0.224,0.108,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000968666926254379,0,AM (Bleo),Alveolar macrophages,Macrophages,
Dbi,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000944993127894462,0.75020391414563,0.513,0.342,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000221128391927304,0,AM (Bleo),Alveolar macrophages,Macrophages,
Tyrobp,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000202154290966397,0.747139614199661,0.687,0.375,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000047304104086137,0,AM (Bleo),Alveolar macrophages,Macrophages,
Ncf1,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000614418512964024,0.738705255046325,0.216,0.112,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000143773932033582,0,AM (Bleo),Alveolar macrophages,Macrophages,
Cd300lf,0.00000000000000000000000000000000000000000000000000000000000000000000000000000628411588692027,0.737521054430508,0.185,0.089,0.000000000000000000000000000000000000000000000000000000000000000000000000147048311753934,0,AM (Bleo),Alveolar macrophages,Macrophages,
Itgb2,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000363370105063327,0.72830066433639,0.26,0.14,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000850286045848185,0,AM (Bleo),Alveolar macrophages,Macrophages,
Cybb,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000130588918968173,0.720821824086355,0.341,0.187,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305578070385525,0,AM (Bleo),Alveolar macrophages,Macrophages,
Cd44,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103474505619833,0.716257714818889,0.267,0.147,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024213034315041,0,AM (Bleo),Alveolar macrophages,Macrophages,
Idh1,0.00000000000000000000000000000000000000000000000000000000000000000000000000000121284401275779,0.702365012012837,0.165,0.089,0.0000000000000000000000000000000000000000000000000000000000000000000000000283805498985323,0,AM (Bleo),Alveolar macrophages,Macrophages,
Gda,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000777603158814191,0.699662956117146,0.235,0.121,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000181959139162521,0,AM (Bleo),Alveolar macrophages,Macrophages,
Fabp4,0.00000000000000000000000000000000000000000000000000107860911512459,0.685997979470673,0.129,0.059,0.0000000000000000000000000000000000000000000000252394532939154,0,AM (Bleo),Alveolar macrophages,Macrophages,
Fcer1g,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000150848375856878,0.682633552187211,0.616,0.352,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000352985199505094,0,AM (Bleo),Alveolar macrophages,Macrophages,
Itgax,0.00000000000000000000000000000000000000000000000000000000000000947829908151858,0.678096989082214,0.124,0.058,0.000000000000000000000000000000000000000000000000000000000221792198507535,0,AM (Bleo),Alveolar macrophages,Macrophages,
Fxyd5,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000558719182384812,0.653908662056873,0.495,0.308,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000130740288678046,0,AM (Bleo),Alveolar macrophages,Macrophages,
Laptm5,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000950699317989471,0.652940742817422,0.53,0.334,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000222463640409536,0,AM (Bleo),Alveolar macrophages,Macrophages,
Tbc1d20,0.000000000000000000000000000000000000000000000000000000313944255162367,0.64075658965333,0.128,0.067,0.0000000000000000000000000000000000000000000000000073462955707994,0,AM (Bleo),Alveolar macrophages,Macrophages,
Nceh1,0.000000000000000000000000000000000000000000000000000000000000000000121292755326048,0.640292109533883,0.183,0.103,0.00000000000000000000000000000000000000000000000000000000000000283825047462952,0,AM (Bleo),Alveolar macrophages,Macrophages,
Lilrb4,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305131837902928,0.639242922580569,0.331,0.185,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000714008500692852,0,AM (Bleo),Alveolar macrophages,Macrophages,
Csf2rb,0.000000000000000000000000000000000000000000000000000000459408772857888,0.63905441178681,0.132,0.065,0.0000000000000000000000000000000000000000000000000107501652848746,0,AM (Bleo),Alveolar macrophages,Macrophages,
Aprt,0.00000000000000000000000000000000000000000000000000000000000000000000000000738796026925899,0.636662660578438,0.248,0.15,0.00000000000000000000000000000000000000000000000000000000000000000000017287827030066,0,AM (Bleo),Alveolar macrophages,Macrophages,
Cyba,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000428913957199133,0.632512896610549,0.568,0.36,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100365865984597,0,AM (Bleo),Alveolar macrophages,Macrophages,
Alox5ap,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000915652825728557,0.632218958054557,0.438,0.255,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000214262761220482,0,AM (Bleo),Alveolar macrophages,Macrophages,
Bst1,0.00000000000000000000000000000000000000000000000000000000314336587246344,0.630956628701404,0.137,0.065,0.0000000000000000000000000000000000000000000000000000735547614156445,0,AM (Bleo),Alveolar macrophages,Macrophages,
Fam96a,0.000000000000000000000000000000000000000000000000000000000000000000000000000232732018975271,0.630023692534916,0.218,0.13,0.00000000000000000000000000000000000000000000000000000000000000000000000544592924402134,0,AM (Bleo),Alveolar macrophages,Macrophages,
Axl,0.000000000000000000000000000000000000000000000000000000000134188125227084,0.626295031888361,0.125,0.056,0.00000000000000000000000000000000000000000000000000000314000213031377,0,AM (Bleo),Alveolar macrophages,Macrophages,
Sla,0.000000000000000000000000000000000000000000000000000000000000153897559489427,0.614835235452763,0.185,0.098,0.00000000000000000000000000000000000000000000000000000000360120289205258,0,AM (Bleo),Alveolar macrophages,Macrophages,
Psap,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000236609790444703,0.614599080175321,0.639,0.407,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000553666909640604,0,AM (Bleo),Alveolar macrophages,Macrophages,
Tmem14c,0.00000000000000000000000000000000000000000000000000000000000000000000000470867696781357,0.610010353659896,0.222,0.142,0.000000000000000000000000000000000000000000000000000000000000000000110183041046838,0,AM (Bleo),Alveolar macrophages,Macrophages,
Cstb,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000987342744231239,0.608982811497925,0.533,0.347,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000023103820215011,0,AM (Bleo),Alveolar macrophages,Macrophages,
Adipor2,0.000000000000000000000000000000000000000000000000000301833708614899,0.603692168667664,0.157,0.087,0.00000000000000000000000000000000000000000000000706290878158864,0,AM (Bleo),Alveolar macrophages,Macrophages,
Sat1,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000173151169974031,0.602339974110271,0.425,0.296,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000405173737739232,0,AM (Bleo),Alveolar macrophages,Macrophages,
S100a1,0.000000000000000000000000000000000000000000000000000000000000000000000000250198400122766,0.602074351201406,0.231,0.149,0.00000000000000000000000000000000000000000000000000000000000000000000585464256287272,0,AM (Bleo),Alveolar macrophages,Macrophages,
AF251705,0.0000000000000000000000000000000000000000000000000000908782428040049,0.600331259626215,0.167,0.094,0.00000000000000000000000000000000000000000000000212655088161372,0,AM (Bleo),Alveolar macrophages,Macrophages,
Cd68,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000620574519843201,0.599701136268266,0.319,0.191,0.000000000000000000000000000000000000000000000000000000000000000000000000000000145214437643309,0,AM (Bleo),Alveolar macrophages,Macrophages,
Sirpb1c,0.0000000000000000000000000000000000000000000120776820042852,0.595877423524398,0.106,0.046,0.000000000000000000000000000000000000000282617758900274,0,AM (Bleo),Alveolar macrophages,Macrophages,
Cd63,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000889490283846338,0.593612142987783,0.524,0.349,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000208140726420043,0,AM (Bleo),Alveolar macrophages,Macrophages,
Atp6v1e1,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000167991714566986,0.584585737880077,0.277,0.187,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000393100612086748,0,AM (Bleo),Alveolar macrophages,Macrophages,
Creg1,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000322100987591867,0.584527875899162,0.341,0.241,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000753716310964968,0,AM (Bleo),Alveolar macrophages,Macrophages,
Trf,0.00000000000000000000000000000000000000000000000000000000000000390058737308273,0.570139160956242,0.233,0.149,0.000000000000000000000000000000000000000000000000000000000091273744530136,0,AM (Bleo),Alveolar macrophages,Macrophages,
Csf2ra,0.000000000000000000000000000000000000000000000000162350729692071,0.566809699858208,0.178,0.109,0.00000000000000000000000000000000000000000000379900707479447,0,AM (Bleo),Alveolar macrophages,Macrophages,
Pygl,0.0000000000000000000000000000000000000000000489392865022419,0.566005745549973,0.125,0.068,0.00000000000000000000000000000000000000114517930415246,0,AM (Bleo),Alveolar macrophages,Macrophages,
Ap1s2,0.00000000000000000000000000000000000000000000020068488409644,0.564583279490101,0.148,0.08,0.00000000000000000000000000000000000000000469602628785669,0,AM (Bleo),Alveolar macrophages,Macrophages,
2009-09-01 00:00:00,0.0000000000000000000000000000000000000000973303193386217,0.561476816077707,0.105,0.055,0.00000000000000000000000000000000000227752947252375,0,AM (Bleo),Alveolar macrophages,Macrophages,
Txn1,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000125692781927793,0.558597972477576,0.483,0.363,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000294121109711036,0,AM (Bleo),Alveolar macrophages,Macrophages,
Sirpa,0.0000000000000000000000000000000000000000000301089545379245,0.556093237666658,0.144,0.082,0.000000000000000000000000000000000000000704549536187433,0,AM (Bleo),Alveolar macrophages,Macrophages,
Blvra,0.000000000000000000000000000000000000000000214553141296916,0.556079853429546,0.138,0.083,0.00000000000000000000000000000000000000502054350634784,0,AM (Bleo),Alveolar macrophages,Macrophages,
Taldo1,0.00000000000000000000000000000000000000000000000000000000000000000000000000000107636674704025,0.554319694960729,0.304,0.208,0.0000000000000000000000000000000000000000000000000000000000000000000000000251869818807418,0,AM (Bleo),Alveolar macrophages,Macrophages,
Ptpn1,0.00000000000000000000000000000000000000000000000000000220347697516236,0.553661488079725,0.209,0.134,0.0000000000000000000000000000000000000000000000000515613612187993,0,AM (Bleo),Alveolar macrophages,Macrophages,
Clec4a3,0.00000000000000000000000000000000000000445131481611356,0.55145684046781,0.127,0.067,0.000000000000000000000000000000000104160766697057,0,AM (Bleo),Alveolar macrophages,Macrophages,
Mt1,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000202127923869765,0.550084177137846,0.552,0.344,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000472979341855251,0,AM (Bleo),Alveolar macrophages,Macrophages,
Mmp19,0.00000000000000000000000000000000000364898095398057,0.549470123586715,0.102,0.052,0.0000000000000000000000000000000853861543231453,0,AM (Bleo),Alveolar macrophages,Macrophages,
Rnf149,0.000000000000000000000000000000000000412062804472228,0.545361207647097,0.106,0.058,0.00000000000000000000000000000000964226962465013,0,AM (Bleo),Alveolar macrophages,Macrophages,
Naaa,0.000000000000000000000000000000000000000000000000000354161004862021,0.542729201927444,0.183,0.11,0.00000000000000000000000000000000000000000000000828736751377128,0,AM (Bleo),Alveolar macrophages,Macrophages,
Dab2,0.00000000000000000000000000000000000000000000000000000000000540088648862418,0.540672864428074,0.256,0.159,0.000000000000000000000000000000000000000000000000000000126380743833806,0,AM (Bleo),Alveolar macrophages,Macrophages,
Snx1,0.000000000000000000000000000000000000000000000000855915160366667,0.539281123357769,0.151,0.098,0.00000000000000000000000000000000000000000002002841475258,0,AM (Bleo),Alveolar macrophages,Macrophages,
Gngt2,0.00000000000000000000000000000000000000000000000000000713265606943202,0.535993249242688,0.198,0.111,0.000000000000000000000000000000000000000000000000166904152024709,0,AM (Bleo),Alveolar macrophages,Macrophages,
Gns,0.0000000000000000000000000000000000000000000500860777138516,0.532606251519202,0.133,0.083,0.00000000000000000000000000000000000000117201421850413,0,AM (Bleo),Alveolar macrophages,Macrophages,
Slfn2,0.00000000000000000000000000000000000000000000000000000000000000000000000000051899086692776,0.530389488107913,0.34,0.225,0.0000000000000000000000000000000000000000000000000000000000000000000000121443862861096,0,AM (Bleo),Alveolar macrophages,Macrophages,
Reep5,0.0000000000000000000000000000000000000000000000000000000135895812438929,0.529142268830166,0.213,0.151,0.000000000000000000000000000000000000000000000000000317996201107095,0,AM (Bleo),Alveolar macrophages,Macrophages,
4930506M07Rik,0.00000000000000000000000000000000000000000000654724127798658,0.528694192350502,0.132,0.077,0.000000000000000000000000000000000000000153205445904886,0,AM (Bleo),Alveolar macrophages,Macrophages,
Comt,0.000000000000000000000000000000000000000000000000465585506200103,0.523894450911273,0.166,0.112,0.0000000000000000000000000000000000000000000108947008450824,0,AM (Bleo),Alveolar macrophages,Macrophages,
Plin2,0.0000000000000000000000000000000000000000000000867815893639553,0.516003919787658,0.226,0.152,0.00000000000000000000000000000000000000000203068919111655,0,AM (Bleo),Alveolar macrophages,Macrophages,
Cd84,0.0000000000000000000000000000000000000027570328254423,0.511844470097572,0.183,0.118,0.0000000000000000000000000000000000645145681153498,0,AM (Bleo),Alveolar macrophages,Macrophages,
Prr13,0.00000000000000000000000000000000000000000000000000000203135916730962,0.506503200063981,0.212,0.147,0.0000000000000000000000000000000000000000000000000475338045150452,0,AM (Bleo),Alveolar macrophages,Macrophages,
Ccr1,0.0000000000000000000000000000000000048913692944181,0.502153383694799,0.139,0.085,0.000000000000000000000000000000114458041489384,0,AM (Bleo),Alveolar macrophages,Macrophages,
Prdx5,0.00000000000000000000000000000000000000000000000000000000000000000000021575790992669,0.501333226395333,0.315,0.228,0.00000000000000000000000000000000000000000000000000000000000000000504873509228454,0,AM (Bleo),Alveolar macrophages,Macrophages,
Wfdc17,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000240629101195319,0.499358020540395,0.542,0.296,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000563072096797046,0,AM (Bleo),Alveolar macrophages,Macrophages,
Etfb,0.00000000000000000000000000000000000000000000000000000000000135147967469047,0.491675139686953,0.219,0.169,0.000000000000000000000000000000000000000000000000000000031624624387757,0,AM (Bleo),Alveolar macrophages,Macrophages,
Coro1b,0.0000000000000000000000000000000000000000000000000455636516693123,0.491392624225945,0.2,0.14,0.00000000000000000000000000000000000000000000106618944906191,0,AM (Bleo),Alveolar macrophages,Macrophages,
Asah1,0.0000000000000000000000000000000000000000000011497556273615,0.490824519636485,0.168,0.117,0.0000000000000000000000000000000000000000269042816802591,0,AM (Bleo),Alveolar macrophages,Macrophages,
Tkt,0.000000000000000000000000000000000000000000000811349864609239,0.49036201233201,0.15,0.103,0.0000000000000000000000000000000000000000189855868318562,0,AM (Bleo),Alveolar macrophages,Macrophages,
Eci2,0.000000000000000000000000000000142252031465916,0.481349813810758,0.125,0.08,0.00000000000000000000000000332869753630243,0,AM (Bleo),Alveolar macrophages,Macrophages,
Slc6a6,0.0000000000000000000000000000000000000000000000534530652497753,0.480860525792614,0.174,0.12,0.00000000000000000000000000000000000000000125080172684474,0,AM (Bleo),Alveolar macrophages,Macrophages,
Fabp5,0.000000000000000000000000000000000000000000000000000000000242544953007295,0.479472543597141,0.327,0.222,0.00000000000000000000000000000000000000000000000000000567555190037071,0,AM (Bleo),Alveolar macrophages,Macrophages,
Abhd12,0.000000000000000000000000000000872755577457819,0.47909349592641,0.106,0.064,0.000000000000000000000000020422480512513,0,AM (Bleo),Alveolar macrophages,Macrophages,
